1571
qstr_Breaking_camp... Breaking_camp...
qstr_{!}DEBUG____Total_co {!}DEBUG_--_Total_courtship_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ra {!}DEBUG_--_Total_random_quarrel_changes:_{reg4}
qstr_{!}DEBUG____Total_ba {!}DEBUG_--_Total_battle_changes_for_allies:_{reg4}
qstr_{!}DEBUG____Total_bat {!}DEBUG_--_Total_battle_changes_for_enemies:_{reg4}
qstr_{!}DEBUG____Total_pro {!}DEBUG_--_Total_promotion_changes:_{reg4}
qstr_{!}DEBUG____Total_fe {!}DEBUG_--_Total_feast_changes:_{reg4}
qstr_{!}DEBUG____Total_po {!}DEBUG_--_Total_policy_dispute_changes:_{reg4}_from_{reg5}_decisions
qstr_{!}DEBUG____Total_fa {!}DEBUG_--_Total_faction_switch_changes:_{reg4}
qstr_{!}DEBUG____Total_no {!}DEBUG_--_Total_no_fief_changes:_{reg4}
qstr_{!}DEBUG____Total_ch {!}DEBUG_--_Total_changes_through_convergence:_{reg4}
qstr_{!}DEBUG____Total_va {!}DEBUG_--_Total_vassal_responses_to_campaign:_{reg4}
qstr_{!}DEBUG____Total_vas {!}DEBUG_--_Total_vassal_campaign_days:_{reg4}
qstr_{!}DEBUG____Vassal_r {!}DEBUG_--_Vassal_response_rate:_{reg4}
qstr_{!}DEBUG___{s4}_s_fe {!}DEBUG_-_{s4}'s_feast_has_rating_of_{reg4}
qstr_{!}_DEBUG___{s4}_fac {!}_DEBUG_-_{s4}_faction_change_in_marriage_case_5
qstr_{!}DEBUG___{s4}_faction_chan {!}DEBUG_-_{s4}_faction_changed_by_marriage,_case_6
qstr_{!}DEBUG___{s4}_stro {!}DEBUG_-_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}DEBUG___including {!}DEBUG_-_including_offensive_and_defensive_alliances_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}DEBUG___including_ {!}DEBUG_-_including_only_defensive_alliances_{s4}_strongest_kingdom_with_{reg3}_strength
qstr_{!}Actor_centers_hel {!}Actor_centers_held_by_target_noted
qstr_{!}War_damage_under_ {!}War_damage_under_minimum
qstr_{!}Strength_ratio_co {!}Strength_ratio_correct
qstr_{!}Third_party_wars {!}Third_party_wars
qstr_{!}DEBUG____No_third {!}DEBUG_--_No_third_party_wars_for_{s15}
qstr_{!}DEBUG____{s15}_is {!}DEBUG_--_{s15}_is_strongest_kingdom
qstr_{!}DEBUG____{s15}_ha {!}DEBUG_--_{s15}_has_30_point_advantage_over_{s16}
qstr_{!}DEBUG____{s15}_has {!}DEBUG_--_{s15}_has_proximity_to_{s16}
qstr_{!}DEBUG____hardship {!}DEBUG_--_hardship_index_for_{s4}_=_{reg0}
qstr_{!}Castle_taken_by_{ {!}Castle_taken_by_{s3}
qstr_{!}Two_thirds_averag {!}Two-thirds_average_renown_=_{reg3}
qstr_{!}DEBUG____Colleagu {!}DEBUG_--_Colleague_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____Open_tes {!}DEBUG_--_Open_test:_score_for_{s10}_=_{reg3}
qstr_{!}DEBUG____{s8}_bac {!}DEBUG_--_{s8}_backs_{s9}:{s10}
qstr_{!}DEBUG____{s4}_pro {!}DEBUG_--_{s4}_produces_a_faction_strategy_for_{s33}
qstr_{!}Best_offensive_ta {!}Best_offensive_target_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_t {!}No_center_found_to_attack
qstr_{!}Best_threat_of_{s {!}Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_{!}No_center_found_to {!}No_center_found_to_defend
qstr_Best_threat_of_{s4}_ Best_threat_of_{s4}_has_value_level_of_{reg1}
qstr_No_center_found_to_d No_center_found_to_defend
qstr_You_gain_right_to_ru You_gain_right_to_rule.
qstr_You_lose_right_to_ru You_lose_right_to_rule.
qstr_{!}DEBUG___{s4}_faction_chang {!}DEBUG_-_{s4}_faction_changed_in_indictment
qstr_{!}{s9} {!}{s9}
qstr_{s0}^{s1} {s0}^{s1}
qstr_finding_best_{reg0}_ finding_best_{reg0}_for_{s1}
qstr_found_{s0}_best_valu found_{s0}_best_value_{reg0}_for_{s1}
qstr_{reg0}_denars_added_ {reg0}_denars_added_to_treasury.
qstr_{reg0}_denars_remove {reg0}_denars_removed_from_treasury.
qstr_{!}DEBUG_:_removing_ {!}DEBUG_:_removing_player_troops:_{reg0}%
qstr_{s1}_and_{s2}_have_e {s1}_and_{s2}_have_entered_into_an_alliance_with_each_other.
qstr_{s1}_and_{s2}_have_c {s1}_and_{s2}_have_concluded_a_defensive_pact_with_each_other.
qstr_{s1}_and_{s2}_have_co {s1}_and_{s2}_have_concluded_a_trade_agreement_with_each_other.
qstr_{s1}_and_{s2}_have_con {s1}_and_{s2}_have_concluded_a_non_aggression_pact_with_each_other.
qstr_{!}DEBUG_:_faction_n {!}DEBUG_:_faction_no_1_value:_{reg0}
qstr_{!}DEBUG_:_faction_no {!}DEBUG_:_faction_no_2_value:_{reg0}
qstr_{!}DEBUG_:_peace_war {!}DEBUG_:_peace_war_result:_{reg0}
qstr_{!}DEBUG_:_prisoner_ {!}DEBUG_:_prisoner_value:_{reg0}
qstr_{!}DEBUG_:_peace_war_ {!}DEBUG_:_peace_war_result_after_prisoners:_{reg0}
qstr_{!}DEBUG_:_truce_pay {!}DEBUG_:_truce_pay_amount0:_{reg0}
qstr_{!}DEBUG_:_truce_pay_ {!}DEBUG_:_truce_pay_amount1:_{reg1}
qstr_{!}DEBUG___Send_mess {!}DEBUG_-_Send_message_to_{s13}
qstr_{!}DEBUG___Bring_{s1 {!}DEBUG_-_Bring_{s12}_to_{s13}
qstr_{!}_ERROR:_Bad_gift_ {!}_ERROR:_Bad_gift_amount_{reg0}.__(Tell_the_mod_writer_he_needs_to_update_his_code.)__Using_a_safe_default.
qstr_{!}DEBUG___Added_{re {!}DEBUG_-_Added_{reg0}.template_of_faction_{s7}_to_patrol.
qstr_{!}DEBUG___Send_{s14 {!}DEBUG_-_Send_{s14}_patrol_from_{s15}_to_{s13}
qstr_Transfer_to_{s5} Transfer_to_{s5}
qstr_{s5}_scout {s5}_scout
qstr_{!}{s6}_of_the_{s5}_ {!}{s6}_of_the_{s5}_retains_the_remaining_{reg0}_denars_(dplmc_faction_leader_splits_gold)
qstr_{s4}_has_returned_fr {s4}_has_returned_from_exile,_seeking_refuge_with_{s6}_of_{s5}.
qstr_{s4}_has_been_grante {s4}_has_been_granted_a_pardon_by_{s6}_of_{s5}_and_has_returned_from_exile.
qstr_{!}DEBUG_:_failure_i {!}DEBUG_:_failure_in_dplmc_lord_return_from_exile((s5},_{s7})
qstr_{!}_ERROR:_called_sc {!}_ERROR:_called_script_dplmc-store-troop-is-female-reg_with_bad_argument_{reg4}
qstr_Given_the_way_things Given_the_way_things_stand_between_us_at_the_moment,_{playername},_I_would_not_consider_it_prudent_to_enter_into_such_an_arrangement.
qstr_{playername}_I_am_g {playername},_I_am_grateful_to_you,_but_in_the_eyes_of_the_people_you_do_not_have_sufficient_legitimacy_as_a_potential_co-ruler.__Marrying_you_would_undermine_my_own_claim_to_the_throne.
qstr_{!}DEBUG___player_re {!}DEBUG_-_player_renown_{reg0},_required_renown_{reg1}
qstr_{playername}_I_know {playername},_I_know_that_if_it_were_not_for_you_I_would_not_sit_on_this_throne,_but_your_name_is_little_renowned_in_Calradia.__Marrying_you_would_be_perceived_as_an_uneven_match_and_would_call_into_question_my_own_claim_to_the_throne.
qstr_{!}DEBUG___player_sc {!}DEBUG_-_player_score_{reg0}_out_of_a_required_{reg1}
qstr_{playername}_I_am_gr {playername},_I_am_grateful_for_your_assistance_in_regaining_my_rightful_throne,_but_you_do_not_have_sufficient_personal_holdings_to_be_a_suitable_match_for_me.__It_would_be_an_uneven_partnership.
qstr_{!}DEBUG___player_sco {!}DEBUG_-_player_score_{reg0},_competitor_score_{reg1}
qstr_{playername}_I_am_gra {playername},_I_am_grateful_to_you,_but_if_I_were_to_accept_at_this_time_I_would_risk_offending_powerful_lords_such_as_{s15},_who_may_consider_themselves_to_have_honor_equal_to_or_greater_than_your_own.
qstr_{playername}_I_am_grat {playername},_I_am_grateful_to_you,_but_if_I_were_to_accept_at_this_time_I_would_risk_offending_great_lords_such_as_{s15},_who_may_consider_themselves_to_have_honor_equal_to_or_greater_than_your_own.
qstr_{!}DEBUG___player_rel {!}DEBUG_-_player_relation_{reg0},_rival_relation_{reg1}
qstr_{playername}_while_ {playername},_while_I_am_grateful_to_you,_I_must_confess_I_am_fond_of_{s15}.
qstr_{!}DEBUG___lords_in_ {!}DEBUG_-_lords_in_faction_{reg0},_required_lords_{reg1}
qstr_Our_realm_has_too_fe Our_realm_has_too_few_vassals.__In_the_current_precarious_state_of_the_affairs_I_must_use_the_lure_of_a_potential_political_alliance_to_attract_new_vassals,_and_cannot_yet_be_seen_to_commit_to_any_single_{reg65?suitor:candidate}.
qstr_{!}DEBUG___liege_has {!}DEBUG_-_liege_has_{reg0}_center_points,_needs_at_least_{reg1}
qstr_Because_I_have_insuf Because_I_have_insufficient_personal_holdings_compared_to_{s15},_if_I_entered_into_such_an_arrangement_I_would_risk_appearing_to_be_a_puppet,_throwing_the_stability_of_the_realm_into_jeopardy.
qstr_Because_my_personal_ Because_my_personal_holdings_are_insufficiently_large_compared_to_other_lords_of_the_{s14},_if_I_entered_into_such_an_arrangement_I_would_risk_appearing_to_be_a_puppet,_throwing_the_stability_of_the_realm_into_jeopardy.
qstr_I_am_grateful_to_you I_am_grateful_to_you,_{playername},_but_you_have_too_many_enemies_among_the_lords_of_the_{s14}_for_your_proposal_to_be_politically_viable.__If_I_were_to_accept,_there_might_be_a_revolt.
qstr_You_have_engendered_ You_have_engendered_too_much_controversy_recently,_{playername}_.__If_I_were_to_accept_at_this_time,_there_might_be_a_revolt_among_the_lords_of_the_{s14}.__Let_us_speak_of_this_later_when_the_furor_has_died_down.
qstr_If_you_desire_to_lea If_you_desire_to_lead_the_{s14}_alongside_me,_gather_support_among_my_vassals_to_become_marshall,_and_demonstrate_to_them_your_abilities_as_a_war_leader.
qstr_Our_realm_has_lost_t Our_realm_has_lost_too_much_territory.__We_once_held_{s1}_but_now_only_hold_{s0}.__In_the_current_precarious_state_of_affairs_I_must_retain_the_possibility_of_a_political_alliance_to_use_as_a_bargaining_chip_with_the_other_sovereigns,_so_I_yet_be_seen_to_commit_to_any_single_{reg65?suitor:candidate}.__Restore_the_{s14}_to_its_former_glory,_and_I_will_gladly_have_you_rule_beside_me_as_my_{husband/wife}.
qstr_{s0}_{reg0?have:has} {s0}_{reg0?have:has}_been_lost_to_foreign_hands.__Restore_the_{s14}_to_its_rightful_boundaries,_and_I_will_gladly_have_you_rule_beside_me_as_my_{husband/wife}.
qstr_You_have_only_been_m You_have_only_been_marshall_for_{reg0}_{reg1?days:day}.__Let_us_speak_of_this_after_you_have_held_the_post_for_at_least_two_weeks.
qstr_If_not_for_you_I_wou If_not_for_you_I_would_not_sit_on_this_throne,_{playername}.__When_we_started_our_long_walk,_few_people_had_the_courage_to_support_me.__And_fewer_still_would_be_willing_to_put_their_lives_at_risk_for_my_cause.__But_you_didn't_hesitate_for_a_moment_in_throwing_yourself_at_my_enemies._We_have_gone_through_a_lot_together,_and_with_God's_help,_we_prevailed.__I_will_gladly_accept_you_as_both_my_{husband/wife}_and_co-ruler_of_the_{s14}.
qstr_Can{reg0?:_t}_sell_{ Can{reg0?:'t}_sell_{s1}_for_{reg1}
qstr_You_sold_{reg1}_{reg You_sold_{reg1}_{reg3?items:item}_to_{s0}_and_gained_{reg0}_{reg3?denars:denar}.
qstr_You_sold_{reg1}_{reg3 You_sold_{reg1}_{reg3?items:item}_to_the_{s0}_and_gained_{reg0}_{reg3?denars:denar}.
qstr_{!}_ERROR_FOR_AUTOSE {!}_ERROR_FOR_AUTOSELL_for_town_ID_{reg0}:_Bad_town_or_merchant_was_missing
qstr_You_have_bought_{reg You_have_bought_{reg2}_{reg4?kinds:kind}_of_food_and_lost_{reg1}_{reg3?denars:denar}.
qstr_You_sold_{reg2}_{reg You_sold_{reg2}_{reg4?kinds:kind}_of_rotten_food_and_gained_{reg1}_{reg3?denars:denar}.
qstr_axe axe
qstr_spear spear
qstr_bow bow
qstr_sword sword
qstr_axes axes
qstr_spears spears
qstr_bows bows
qstr_swords swords
qstr_swing_my_axe swing_my_axe
qstr_lift_my_spear lift_my_spear
qstr_loose_my_arrows loose_my_arrows
qstr_swing_my_sword swing_my_sword
qstr_sultan sultan
qstr_khans khans
qstr_sultans sultans
qstr_kings kings
qstr_lord lord
qstr_lords lords
qstr_goatherd goatherd
qstr_swineherd swineherd
qstr_stable_{boy/girl} stable_{boy/girl}
qstr_shepherd_{boy/girl} shepherd_{boy/girl}
qstr_kvass kvass
qstr_kumis kumis
qstr_mead mead
qstr_wine wine
qstr_{!}ERROR___dplmc_pri {!}ERROR_-_dplmc_print_cultural_word_to_sreg_called_for_bad_context_{reg0}
qstr_{reg6?M:m}y_poppet {reg6?M:m}y_poppet
qstr_{!}Initializing_auto {!}Initializing_auto-loot.__This_message_should_not_appear_more_than_once.
qstr_{!}_Checked_if_facti {!}_Checked_if_faction_{reg1}_is_prejudiced_against_{reg2?women:men}:_{reg0?true:false}
qstr_{reg0?Y:y}ou {reg0?Y:y}ou
qstr_{reg0?M:m}yself {reg0?M:m}yself
qstr_{reg0?O:o}ur_{s1}_{s {reg0?O:o}ur_{s1}_{s0}
qstr_{reg0?M:m}y_{s1}_{s0 {reg0?M:m}y_{s1}_{s0}
qstr_{reg0?Y:y}our_{s1}_{ {reg0?Y:y}our_{s1}_{s0}
qstr_{s2}:_{reg3}_{reg4} {s2}:_{reg3},_{reg4}_days
qstr_{s4}:_{reg4} {s4}:_{reg4}
qstr_{s1}_gathering_suppo {s1}(gathering_support)
qstr_{s1}__intelligence_ {s1}_(intelligence)
qstr_{s1}__ambassy_ {s1}_(ambassy)
qstr_{s1}__minister {s1}_(minister
qstr_{s1}__under_arms_ {s1}_(under_arms)
qstr_{s1}__attempting_to_ {s1}_(attempting_to_rejoin)
qstr_{s1}__separated_afte {s1}_(separated_after_battle)
qstr__knows_of_you. _knows_of_you.
qstr__has_no_opinion_abou _has_no_opinion_about_you.
qstr_{s57}_and_{s50} {s57}_and_{s50}
qstr_{!}{s57}_{s50} {!}{s57},_{s50}
qstr_Calradia. Calradia.
qstr_sworn_man sworn_man
qstr_ruler ruler
qstr_free_man free_man
qstr_{s1}_Renown:_{reg40} {s1}_Renown:_{reg40},_Controversy:_{reg41}^Honor:_{reg42},_Right_to_rule:_{reg43}^You_are_a_{s44}_of_{s45}^{reg45?{reg46?Your_liege,_{s46},{s47}:You_are_the_ruler_of_{s45}}:}^^Friends:_^Enemies:_^^Fiefs:^__{reg50?{s50}:no_fief}
qstr_{s1}{s2}_{reg46?Repu {s1}{s2}_{reg46?Reputed_to_be_{s42}:}^Renown:_{reg40},_Controversy:_{reg41}_{reg46?Impatience:_{reg43}:}^{s44}_noble_of_the_{s45}^{reg46?Liege:_{s46},_Relation:_{reg47}:Ruler_of_the_{s45}}^^{reg48?Currently_prisoner_of_the_{s48}:}^Days_since_last_meeting:_{reg49}^^Fiefs_{reg51?(was_promised_a_fief):}:^__{reg50?{s50}:no_fief}
qstr_conventional conventional
qstr_adventurous adventurous
qstr_otherwordly otherwordly
qstr_ambitious ambitious
qstr_moralist moralist
qstr_just_met just_met
qstr_admirer admirer
qstr_promised promised
qstr_breakup breakup
qstr_unknown unknown
qstr_Heroic_{s50} Heroic_{s50}
qstr_Allegoric_{s50} Allegoric_{s50}
qstr_Comic_{s50} Comic_{s50}
qstr_Mystic_{s50} Mystic_{s50}
qstr_Tragic_{s50} Tragic_{s50}
qstr_{s1}{s2}_Controversy {s1}{s2}_Controversy:_{reg41}^Reputation:_{s42},_Courtship_state:_{s43}^Belongs_to_the_{s45}^{reg46?Her_father,_{s46}:Her_guardian,_{s46}}{s47}^Allowed_to_visit:_{reg45?yes:no}_{reg48?Betrothed_to_{s48}:}^^Days_since_last_meeting:_{reg49}^^Poems:^__{reg50?{s50}:no_poem_heard}
qstr_Gathering_support Gathering_support
qstr_Gathering_intelligen Gathering_intelligence_in_the_{s66}
qstr_Ambassy_to_{s66} Ambassy_to_{s66}
qstr_Minister Minister
qstr_none none
qstr_{s1}_{s2}^Reputatio {s1},_{s2}^Reputation:_{s42}^Born_at_{s43}^Contact_in_{s44}_of_the_{s45}.^^{reg48?Currently_prisoner_of_the_{s48}:}^Days_since_last_talked_to:_{reg49}^^Current_mission:^__{s50}{reg50?,_back_in_{reg50}_days.:}
qstr_{s1}^ {s1}^
qstr_Added_money_for_your Added_money_for_your_old_horse
qstr_A_{s0}_is_being_buil A_{s0}_is_being_built._It_will_finish_in_{reg6}_days
qstr_{s20}{reg2?Our_gover {s20}{reg2?Our_government:The_goverment_of_the_{s5}}_is_{s0}.{reg3?^:_}
qstr_{s20}The_upper_class {s20}The_upper_class_society_is_{s0}.{reg3?^:_}
qstr_{s20}{reg2?Our:The}_ {s20}{reg2?Our:The}_people_are_{s0}.{reg3?^:_}
qstr_{s20}{reg2?Our:The}_t {s20}{reg2?Our:The}_troops_have_{s0}.{reg3?^:_}
qstr_{s20}{reg2?Our:The_g {s20}{reg2?Our:The_government's}_approach_to_trade_is_{s0}.{reg3?^:_}
qstr_You_have_been_knocke You_have_been_knocked_out_by_the_enemy._Watch_your_men_continue_the_fight_without_you_or_press_Tab_to_retreat.
qstr_Selected_Troop:_{s1} Selected_Troop:_{s1}
qstr_No_Troops_Left. No_Troops_Left.
qstr_{!}DEBUG____Wanted_b {!}DEBUG_--_Wanted_bandits_spotted_by_{s4}
qstr_Checking_rejoin_of_{ Checking_rejoin_of_{s10}_days_on_mission:_{reg0}
qstr_{!}DEBUG_:_chamberla {!}DEBUG_:_chamberlain:_{reg0}
qstr_{!}DEBUG_:_constable {!}DEBUG_:_constable:_{reg0}
qstr_{!}DEBUG_:_chancello {!}DEBUG_:_chancellor:_{reg0}
qstr_Next_Page Next_Page
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_Continue... Continue...
qstr_Candidate_#1:_{s1} Candidate_#1:_{s1}
qstr_Candidate_#2:_{s1} Candidate_#2:_{s1}
qstr_{s3}_of_{s4}_wishes_ {s3}_of_{s4}_wishes_to_select_a_new_marshall_and_invites_his_vassals_for_a_counsel._{s1}_and_{s2}_are_the_likely_candidates.
qstr_Who_do_you_wish_to_s Who_do_you_wish_to_support?
qstr_{!}{s1} {!}{s1}
qstr_{s1}_gives_his_suppo {s1}_gives_his_support_to_{s2}.
qstr_Number_of_Supporters Number_of_Supporters:_{reg0}
qstr_{s2}_has_heard_his_v {s2}_has_heard_his_vassals'_counsel._He_selects_{s1}_as_the_marshall_of_{s3}.
qstr_Action Action
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_{s0}__{s50}_ {s0}_({s50})
qstr_{s55}__{reg0}%_ {s55}_({reg0}%)
qstr_{s55} {s55}
qstr_Staff: Staff:
qstr_You_paid_{reg0}_cash You_paid_{reg0}_cash_to_liquidate_a_debt
qstr_Earlier_cash: Earlier_cash:
qstr_New_cash: New_cash:
qstr_Name:_{s1}^Level:_{r Name:_{s1}^Level:_{reg1}
qstr_{s1}^HP:_{reg1}/{reg {s1}^HP:_{reg1}/{reg2}
qstr_{s1} {s1}
qstr_Weapon_upgrade_setti Weapon_upgrade_settings:
qstr_Apply_to_everyone Apply_to_everyone
qstr_Upgrade_armor_ Upgrade_armor_
qstr_Upgrade_horse_ Upgrade_horse_
qstr_Select_your_domestic Select_your_domestic_policy
qstr_Centralization: Centralization:
qstr_Aristocracy: Aristocracy:
qstr_Serfdom: Serfdom:
qstr_Troop_quality: Troop_quality:
qstr_Mercantilism: Mercantilism:
qstr_High_centralization_ High_centralization_reduces_tax_inefficiency_for_the_king_and_raises_it_for_vassals._This_will_interfere__the_relations_between_ruler_and_vassals.
qstr_High_aristocracy_wil High_aristocracy_will_improve_the_relations_between_the_king_and_his_vassals_who_will_be_able_to_raise_bigger_armies_but_it_will_decreased_trade.
qstr_High_serfdom_reduces High_serfdom_reduces_tax_inefficiency_for_the_king_and_his_vassals_and_vassals_can_maintain_bigger_armies_but_troops_lose_morale.
qstr_High_troop_quality_i High_troop_quality_increases_the_combat_strength_of_troops_but_decreases_army_size.
qstr_Mercantilistic_polic Mercantilistic_policies_maximize_exports_while_minimizing_imports,_and_increase_government_regulation_of_industry.
qstr_Cancel Cancel
qstr_Dictate_the_peace_te Dictate_the_peace_terms
qstr_Select_the_castle_an Select_the_castle_and_the_amount_of_money_and_check_the_boxes_to_activate_the_demand._The_demands_are_combined_if_both_boxes_are_checked.
qstr_1000_denars 1000_denars
qstr__Faction_Relations_R _Faction_Relations_Report_
qstr__Return_to_menu_ _Return_to_menu_
qstr_Your_kingdom Your_kingdom
qstr_Player^Relation Player^Relation
qstr_{!}DEBUG___Drawing_l {!}DEBUG_-_Drawing_line_{reg20}
qstr_War War
qstr_Casus_Belli Casus_Belli
qstr_Peace Peace
qstr_Truce Truce
qstr_Alliance Alliance
qstr_Defense Defense
qstr_Trade Trade
qstr_{reg59?{reg59}_days: {reg59?{reg59}_days:}
qstr_{reg61} {reg61}
qstr_{s9} {s9}
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{reg1} {reg1}
qstr_{s3} {s3}
qstr_{reg61}_{reg58?_{reg {reg61}_{reg58?({reg58}_U)_:}Centers
qstr_{reg62}_Caravans {reg62}_Caravans
qstr_{reg60}_{reg59?_{reg {reg60}_{reg59?({reg59}_P)_:}Lords
qstr_How_will_your_male_v How_will_your_male_vassals_be_known?
qstr_How_will_your_female How_will_your_female_vassals_be_known?
qstr_{!} {!}
qstr_Use_the_Titles_Enter Use_the_Titles_Entered_Above.
qstr_Use_Default_Titles__ Use_Default_Titles_(Lord/Lady).
qstr_Sell_items_automatic Sell_items_automaticly_when_leaving:
qstr_Price_limit_for_auto Price_limit_for_auto-sell:
qstr_Item_types_for_auto_ Item_types_for_auto-sell:
qstr_Select_all Select_all
qstr_Select_invert Select_invert
qstr_Buy_food_automatical Buy_food_automatically_when_leaving:
qstr_* *
qstr__Courtships_in_progr _Courtships_in_progress_
qstr__Known_Lords_by_Rela _Known_Lords_by_Relation_
qstr__Character_&_Compani _Character_&_Companions_
qstr__Done_ _Done_
qstr_Your_supporters Your_supporters
qstr_Swadians Swadians
qstr_Vaegirs Vaegirs
qstr_Khergits Khergits
qstr_Nords Nords
qstr_Rhodoks Rhodoks
qstr_Sarranids Sarranids
qstr_All_Factions All_Factions
qstr_Default_camera_mode Default_camera_mode
qstr_Keyboard Keyboard
qstr_Mouse Mouse
qstr_Follower Follower
qstr_Raise_camera Raise_camera
qstr_Lower_camera Lower_camera
qstr_Lower_sensitivity Lower_sensitivity
qstr_Tilt_left Tilt_left
qstr_Prev_troop Prev_troop
qstr_Raise_sensitivity Raise_sensitivity
qstr_Tilt_right Tilt_right
qstr_Next_troop Next_troop
qstr_Zoom_in Zoom_in
qstr_Rotate_up Rotate_up
qstr_Zoom_out Zoom_out
qstr_Rotate_down Rotate_down
qstr_Rotate_left Rotate_left
qstr_Rotate_right Rotate_right
qstr_Press_a_key Press_a_key
qstr__Next_pay_day:_{s1} _Next_pay_day:_{s1}
qstr_{s1}^^Affiliated_to_ {s1}^^Affiliated_to_{s5}
qstr_{!}{s4}:_M{reg3}_2M {!}{s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_You_came_into_the_wo You_came_into_the_world_a_{reg3?daughter:son}_of_declining_nobility,_owning_only_the_house_in_which_they_lived._However,_despite_your_family's_hardships,_they_afforded_you_a_good_education_and_trained_you_from_childhood_for_the_rigors_of_aristocracy_and_life_at_court.
qstr_You_were_born_the_{r You_were_born_the_{reg3?daughter:son}_of_travelling_merchants,_always_moving_from_place_to_place_in_search_of_a_profit._Although_your_parents_were_wealthier_than_most_and_educated_you_as_well_as_they_could,_you_found_little_opportunity_to_make_friends_on_the_road,_living_mostly_for_the_moments_when_you_could_sell_something_to_somebody.
qstr_As_a_child_your_fam As_a_child,_your_family_scrabbled_out_a_meagre_living_from_your_father's_wages_as_a_guardsman_to_the_local_lord._It_was_not_an_easy_existence,_and_you_were_too_poor_to_get_much_of_an_education._You_learned_mainly_how_to_defend_yourself_on_the_streets,_with_or_without_a_weapon_in_hand.
qstr_{reg3?daughter:son} {reg3?daughter:son}
qstr_You_were_the_{reg3?d You_were_the_{reg3?daughter:son}_of_a_family_who_lived_off_the_woods,_doing_whatever_they_needed_to_make_ends_meet._Hunting,_woodcutting,_making_arrows,_even_a_spot_of_poaching_whenever_things_got_tight._Winter_was_never_a_good_time_for_your_family_as_the_cold_took_animals_and_people_alike,_but_you_always_lived_to_see_another_dawn,_though_your_brothers_and_sisters_might_not_be_so_fortunate.
